FlightNumber,AircraftType,DepartureAirport,ArrivalAirport,DepartureTime,ArrivalTime,FlightDuration,FuelConsumed (kg),PayloadWeight (kg),PassengerCount,TaxiOutTime (min),TaxiInTime (min),ExpectedFuel (kg),FuelDifference (kg),RouteDistance (km),AltitudeLevel (ft),CruiseSpeed (km/h),FuelPerPassenger (kg),FuelPerKm (kg/km),EmissionEstimate (kg CO₂)
EK5244,A320,DEL,KHI,2025-08-07 00:09,2025-08-07 01:22,73,1547.35,14015,118,5,18,1600.15,-52.8,1067.83,32642,869,13.11,1.4491,4889.63
QR2635,A320,CAI,DOH,2025-02-05 16:53,2025-02-05 19:13,140,3003.43,14150,123,14,24,2941.5,61.93,2060.93,38305,878,24.42,1.4573,9490.84
PK8240,A320,DXB,JED,2025-11-24 16:14,2025-11-24 18:17,123,2693.15,17121,166,21,14,2631.21,61.94,1702.17,36168,824,16.22,1.5822,8510.35
SV8402,A320,DXB,DOH,2025-03-25 04:03,2025-03-25 04:28,25,613.62,13570,162,17,12,635.7,-22.08,378.52,36258,884,3.79,1.6211,1939.04
TK6651,A320,CAI,JED,2025-04-04 14:03,2025-04-04 15:26,83,1746.85,14811,82,18,25,1808.1100000000001,-61.26,1214.94,33686,872,21.3,1.4378,5520.05
MS7546,A320,DOH,JED,2025-03-11 03:41,2025-03-11 05:21,100,2081.52,13465,98,20,17,2134.65,-53.13,1332.96,36353,794,21.24,1.5616,6577.6
TK3745,A320,DOH,CAI,2025-11-26 08:23,2025-11-26 10:50,147,3075.65,8119,176,22,15,3021.19,54.46,2060.93,33314,836,17.48,1.4924,9719.05
TK2020,A320,JED,KHI,2025-06-15 22:02,2025-06-16 01:41,219,4400.38,11955,109,9,10,4499.55,-99.17,2882.63,31363,788,40.37,1.5265,13905.2
EK6277,A320,IST,DXB,2025-10-21 23:54,2025-10-22 03:37,223,4739.32,16479,135,7,10,4624.79,114.53,3029.96,38044,814,35.11,1.5642,14976.25
AI3289,A320,DXB,IST,2025-08-28 17:52,2025-08-28 21:16,204,4155.68,6773,86,12,8,4147.73,7.95,3029.96,32539,888,48.32,1.3715,13131.95
EK9400,A320,DXB,JED,2025-08-18 22:25,2025-08-19 00:33,128,2607.49,9588,91,12,5,2655.88,-48.39,1702.17,35143,796,28.65,1.5319,8239.67
EK8366,A320,DXB,JED,2025-10-23 04:16,2025-10-23 06:15,119,2402.04,12279,175,23,14,2502.79,-100.75,1702.17,35594,854,13.73,1.4112,7590.45
QR5703,A320,IST,CAI,2025-02-25 08:26,2025-02-25 09:50,84,1830.42,12733,100,14,9,1807.33,23.09,1261.41,36433,892,18.3,1.4511,5784.13
EK1670,A320,CAI,DXB,2025-11-17 23:22,2025-11-18 02:03,161,3298.61,17783,156,22,17,3397.83,-99.22,2419.78,30045,898,21.14,1.3632,10423.61
SV642,A320,JED,CAI,2025-01-16 13:02,2025-01-16 14:33,91,2034.17,17588,88,24,13,1995.88,38.29,1214.94,33962,795,23.12,1.6743,6427.98
EK732,A320,KHI,IST,2025-03-01 03:55,2025-03-01 08:33,278,5681.02,16395,171,14,25,5723.95,-42.93,3975.55,33535,855,33.22,1.429,17952.02
EK1818,A320,KHI,DXB,2025-07-27 06:16,2025-07-27 07:39,83,1725.74,14100,80,11,10,1801.0,-75.26,1190.18,32978,856,21.57,1.45,5453.34
AI8040,A320,JED,DXB,2025-09-15 02:31,2025-09-15 04:39,128,2789.84,10262,81,23,21,2662.62,127.22,1702.17,35859,795,34.44,1.639,8815.89
QR818,A320,DEL,CAI,2025-08-25 07:24,2025-08-25 12:26,302,5924.87,17900,170,26,18,6219.0,-294.13,4412.05,35608,874,34.85,1.3429,18722.59
MS7868,A320,KHI,DEL,2025-04-02 21:40,2025-04-02 22:57,77,1577.6,9698,138,10,10,1636.98,-59.38,1067.83,30690,830,11.43,1.4774,4985.22
PK4732,A320,KHI,DOH,2025-12-08 09:18,2025-12-08 11:05,107,2152.39,10882,171,12,11,2248.82,-96.43,1568.56,31126,878,12.59,1.3722,6801.55
MS4484,A320,KHI,IST,2025-09-22 15:49,2025-09-22 20:14,265,5452.41,11701,88,25,21,5417.01,35.4,3975.55,36269,897,61.96,1.3715,17229.62
TK217,A320,DEL,JED,2025-10-08 11:37,2025-10-08 16:15,278,5538.37,13358,149,25,21,5693.58,-155.21,3886.02,31140,836,37.17,1.4252,17501.25
QR8780,A320,DEL,KHI,2025-12-11 19:27,2025-12-11 20:48,81,1632.24,9381,95,21,18,1713.81,-81.57,1067.83,31984,790,17.18,1.5286,5157.88
PK9374,A320,DEL,CAI,2025-08-15 06:44,2025-08-15 11:40,296,6274.81,15555,177,11,14,6075.55,199.26,4412.05,32242,893,35.45,1.4222,19828.4
TK7569,A320,DEL,DOH,2025-05-22 00:58,2025-05-22 03:48,170,3424.69,15033,132,20,19,3550.33,-125.64,2553.18,34283,898,25.94,1.3413,10822.02
SV438,A320,KHI,JED,2025-04-25 23:47,2025-04-26 03:19,212,4181.38,9511,162,20,8,4335.11,-153.73,2882.63,35553,815,25.81,1.4505,13213.16
QR7095,A320,JED,DEL,2025-02-10 22:33,2025-02-11 02:52,259,5412.16,9885,143,30,19,5278.85,133.31,3886.02,37348,899,37.85,1.3927,17102.43
AI2613,A320,DXB,JED,2025-07-14 09:09,2025-07-14 11:09,120,2523.49,12662,87,15,13,2526.62,-3.13,1702.17,37164,847,29.01,1.4825,7974.23
TK4729,A320,DXB,JED,2025-09-11 12:19,2025-09-11 14:14,115,2316.73,9806,163,12,12,2398.06,-81.33,1702.17,35018,884,14.21,1.361,7320.87
MS978,A320,IST,DXB,2025-12-27 17:06,2025-12-27 20:53,227,4524.2,6723,101,7,24,4607.23,-83.03,3029.96,35762,798,44.79,1.4932,14296.47
QR5670,A320,IST,JED,2025-09-08 11:35,2025-09-08 14:28,173,3671.49,6699,100,26,7,3526.99,144.5,2383.55,36092,825,36.71,1.5403,11601.91
MS8349,A320,IST,DEL,2025-12-23 11:08,2025-12-23 16:54,346,6946.09,11203,102,10,13,7032.03,-85.94,4573.44,32636,793,68.1,1.5188,21949.64
MS7709,A320,IST,KHI,2025-07-18 04:16,2025-07-18 09:07,291,6014.43,6120,166,12,11,5881.2,133.23,3975.55,38205,819,36.23,1.5129,19005.6
PK1951,A320,DOH,IST,2025-04-13 18:59,2025-04-13 22:10,191,4114.97,13598,176,21,18,3955.98,158.99,2756.39,37516,865,23.38,1.4929,13003.31
TK4934,A320,DXB,JED,2025-04-20 03:59,2025-04-20 06:03,124,2696.27,11581,170,25,10,2595.81,100.46,1702.17,37066,818,15.86,1.584,8520.21
QR1481,A320,JED,DXB,2025-06-06 23:35,2025-06-07 01:32,117,2510.23,17055,90,17,6,2510.55,-0.32,1702.17,38859,866,27.89,1.4747,7932.33
AI3055,A320,JED,IST,2025-05-10 02:43,2025-05-10 05:44,181,3753.88,16100,126,20,9,3781.0,-27.12,2383.55,32757,790,29.79,1.5749,11862.26
MS8393,A320,JED,CAI,2025-12-27 20:08,2025-12-27 21:39,91,1992.67,11435,97,24,5,1934.35,58.32,1214.94,38795,795,20.54,1.6401,6296.84
QR1825,A320,IST,DEL,2025-06-28 00:50,2025-06-28 06:39,349,7367.29,15483,116,28,6,7134.83,232.46,4573.44,30555,786,63.51,1.6109,23280.64
QR526,A320,KHI,JED,2025-06-04 23:27,2025-06-05 02:59,212,4552.29,14075,112,12,7,4380.75,171.54,2882.63,38710,814,40.65,1.5792,14385.24
AI7986,A320,CAI,DOH,2025-09-12 06:34,2025-09-12 08:59,145,2933.8,14853,154,14,7,3048.53,-114.73,2060.93,31917,850,19.05,1.4235,9270.81
QR9493,A320,DEL,DXB,2025-09-07 21:47,2025-09-08 00:13,146,2878.77,8307,111,23,17,3003.07,-124.3,2186.68,31228,893,25.93,1.3165,9096.91
PK505,A320,DXB,JED,2025-05-05 03:43,2025-05-05 05:39,116,2367.52,12950,91,15,25,2449.5,-81.98,1702.17,31450,876,26.02,1.3909,7481.36
EK4824,A320,JED,DEL,2025-05-16 15:53,2025-05-16 20:38,285,5565.0,9187,89,28,6,5791.87,-226.87,3886.02,34630,817,62.53,1.4321,17585.4
AI9127,A320,DOH,CAI,2025-08-19 00:27,2025-08-19 02:49,142,2969.14,15029,106,24,10,2990.29,-21.15,2060.93,35540,867,28.01,1.4407,9382.48
PK2098,A320,KHI,JED,2025-09-26 05:30,2025-09-26 09:07,217,4677.36,12500,101,23,6,4465.0,212.36,2882.63,36777,797,46.31,1.6226,14780.46
EK8615,A320,DOH,DEL,2025-09-07 16:18,2025-09-07 19:08,170,3621.12,10748,104,6,11,3507.48,113.64,2553.18,33885,899,34.82,1.4183,11442.74
TK8562,A320,IST,JED,2025-03-27 19:26,2025-03-27 22:15,169,3570.97,10340,180,22,22,3483.4,87.57,2383.55,33976,844,19.84,1.4982,11284.27
SV3572,A320,CAI,DOH,2025-01-10 14:47,2025-01-10 17:14,147,3180.17,13667,169,27,6,3076.67,103.5,2060.93,36288,841,18.82,1.5431,10049.34
AI7696,A320,CAI,KHI,2025-02-17 15:22,2025-02-17 19:32,250,5404.76,15855,152,21,10,5158.55,246.21,3565.44,30241,854,35.56,1.5159,17079.04
MS4104,A320,DXB,IST,2025-03-26 08:40,2025-03-26 12:16,216,4277.97,14268,172,7,18,4462.68,-184.71,3029.96,30330,841,24.87,1.4119,13518.39
PK987,A320,KHI,DEL,2025-06-20 19:25,2025-06-20 20:37,72,1650.16,14157,166,23,20,1581.57,68.59,1067.83,36573,881,9.94,1.5453,5214.51
EK649,A320,CAI,KHI,2025-10-14 09:15,2025-10-14 13:20,245,5220.42,7407,171,11,18,4974.07,246.35,3565.44,36249,872,30.53,1.4642,16496.53
AI4703,A320,JED,CAI,2025-02-08 21:18,2025-02-08 22:40,82,1825.6,10615,174,10,24,1746.15,79.45,1214.94,35660,888,10.49,1.5026,5768.9
EK1141,A320,DOH,CAI,2025-09-08 14:37,2025-09-08 17:10,153,3238.14,8002,98,20,22,3140.02,98.12,2060.93,34587,806,33.04,1.5712,10232.52
MS6430,A320,IST,JED,2025-12-27 08:02,2025-12-27 10:58,176,3733.32,16183,155,11,18,3681.83,51.49,2383.55,30235,808,24.09,1.5663,11797.29
TK4439,A320,KHI,CAI,2025-02-20 17:03,2025-02-20 21:36,273,5652.88,7141,89,10,24,5531.41,121.47,3565.44,36170,782,63.52,1.5855,17863.1
EK1885,A320,IST,JED,2025-05-28 19:29,2025-05-28 22:19,170,3487.28,15354,97,18,13,3553.54,-66.26,2383.55,34325,837,35.95,1.4631,11019.8
PK7794,A320,KHI,CAI,2025-02-03 23:43,2025-02-04 03:53,250,4926.9,8250,169,10,21,5082.5,-155.6,3565.44,35981,853,29.15,1.3818,15569.0
SV9663,A320,CAI,DEL,2025-08-11 03:42,2025-08-11 08:43,301,6225.27,7260,166,20,8,6092.6,132.67,4412.05,31842,878,37.5,1.411,19671.85
TK6213,A320,DXB,DOH,2025-05-06 15:20,2025-05-06 15:46,26,592.24,8192,146,14,10,601.92,-9.68,378.52,33811,847,4.06,1.5646,1871.48
EK3523,A320,JED,KHI,2025-06-02 03:11,2025-06-02 06:24,193,3838.64,6111,98,25,17,3921.11,-82.47,2882.63,30410,895,39.17,1.3316,12130.1
PK8707,A320,DXB,DOH,2025-02-20 04:33,2025-02-20 05:01,28,764.93,17604,91,18,16,736.04,28.89,378.52,30349,790,8.41,2.0208,2417.18
TK8654,A320,DEL,DOH,2025-05-15 03:01,2025-05-15 05:52,171,3602.0,7518,138,6,11,3495.18,106.82,2553.18,33774,892,26.1,1.4108,11382.32
PK6650,A320,DXB,JED,2025-01-11 08:44,2025-01-11 10:47,123,2622.39,12223,172,18,24,2582.23,40.16,1702.17,34733,829,15.25,1.5406,8286.75
AI255,A320,CAI,DXB,2025-10-24 04:30,2025-10-24 07:23,173,3370.4,8443,154,15,5,3544.43,-174.03,2419.78,30776,838,21.89,1.3929,10650.46
QR8371,A320,IST,DOH,2025-05-09 10:37,2025-05-09 13:41,184,3760.02,6210,150,19,20,3742.1,17.92,2756.39,32985,895,25.07,1.3641,11881.66
TK7813,A320,DEL,CAI,2025-07-17 21:08,2025-07-18 02:09,301,6013.4,13792,176,18,7,6157.92,-144.52,4412.05,33903,877,34.17,1.3629,19002.34
EK7860,A320,IST,DEL,2025-04-20 02:07,2025-04-20 07:16,309,6451.18,7343,123,7,6,6253.43,197.75,4573.44,35725,887,52.45,1.4106,20385.73
QR2403,A320,DXB,JED,2025-07-20 13:44,2025-07-20 15:42,118,2591.69,11620,169,24,15,2476.2,115.49,1702.17,32392,861,15.34,1.5226,8189.74
QR383,A320,JED,CAI,2025-07-23 15:48,2025-07-23 17:14,86,1859.67,17271,171,11,5,1892.71,-33.04,1214.94,31494,838,10.88,1.5307,5876.56
AI4869,A320,IST,KHI,2025-03-06 17:31,2025-03-06 22:05,274,5749.9,10096,92,30,14,5580.96,168.94,3975.55,30385,868,62.5,1.4463,18169.68
AI5412,A320,DXB,DEL,2025-07-02 21:35,2025-07-03 00:09,154,3360.2,15880,151,18,5,3238.8,121.4,2186.68,36509,850,22.25,1.5367,10618.23
TK5227,A320,DEL,JED,2025-03-04 16:31,2025-03-04 21:00,269,5472.24,10411,153,27,15,5484.11,-11.87,3886.02,38509,865,35.77,1.4082,17292.28
EK9137,A320,IST,KHI,2025-09-16 22:57,2025-09-17 03:24,267,5567.48,7844,138,6,15,5418.44,149.04,3975.55,34830,891,40.34,1.4004,17593.24
QR3030,A320,DXB,JED,2025-10-18 21:50,2025-10-18 23:57,127,2648.56,16238,124,23,24,2702.38,-53.82,1702.17,34042,798,21.36,1.556,8369.45
QR331,A320,CAI,KHI,2025-10-13 05:01,2025-10-13 09:16,255,4988.59,13171,148,25,20,5231.71,-243.12,3565.44,37245,838,33.71,1.3992,15763.94
EK1161,A320,JED,DOH,2025-06-26 03:14,2025-06-26 04:44,90,1874.5,9683,116,7,10,1896.83,-22.33,1332.96,37949,888,16.16,1.4063,5923.42
MS3814,A320,JED,DOH,2025-04-17 17:30,2025-04-17 19:10,100,2181.82,8677,124,12,5,2086.77,95.05,1332.96,38950,798,17.6,1.6368,6894.55
SV3801,A320,JED,CAI,2025-07-15 18:42,2025-07-15 20:12,90,1926.86,8706,163,10,18,1887.06,39.8,1214.94,30893,805,11.82,1.586,6088.88
EK1517,A320,DXB,KHI,2025-08-23 15:31,2025-08-23 16:54,83,1786.28,11358,82,22,5,1773.58,12.7,1190.18,34797,852,21.78,1.5008,5644.64
EK9044,A320,JED,IST,2025-12-15 18:12,2025-12-15 21:07,175,3654.21,9835,154,20,11,3598.35,55.86,2383.55,38623,816,23.73,1.5331,11547.3
TK8642,A320,JED,IST,2025-03-22 22:49,2025-03-23 01:30,161,3201.78,10743,135,9,14,3327.43,-125.65,2383.55,34502,886,23.72,1.3433,10117.62
PK3428,A320,DXB,IST,2025-10-11 10:22,2025-10-11 14:12,230,4793.77,6341,137,8,10,4663.41,130.36,3029.96,36712,790,34.99,1.5821,15148.31
EK9828,A320,DOH,IST,2025-06-08 13:29,2025-06-08 16:39,190,3915.09,10655,130,24,15,3906.55,8.54,2756.39,30861,869,30.12,1.4204,12371.68
MS4136,A320,DXB,JED,2025-05-01 19:08,2025-05-01 21:03,115,2406.62,16158,129,6,10,2461.58,-54.96,1702.17,36105,886,18.66,1.4139,7604.92
TK6311,A320,IST,JED,2025-08-13 07:31,2025-08-13 10:14,163,3285.4,17229,157,12,18,3432.29,-146.89,2383.55,37071,877,20.93,1.3784,10381.86
TK3363,A320,KHI,DEL,2025-06-26 07:14,2025-06-26 08:35,81,1696.2,15590,130,24,22,1775.9,-79.7,1067.83,36326,786,13.05,1.5885,5359.99
AI6185,A320,IST,JED,2025-02-17 12:28,2025-02-17 15:11,163,3259.64,12469,89,27,13,3384.69,-125.05,2383.55,32703,877,36.63,1.3676,10300.46
SV3712,A320,CAI,KHI,2025-03-28 06:04,2025-03-28 10:30,266,5198.12,11172,155,10,25,5431.72,-233.6,3565.44,32995,803,33.54,1.4579,16426.06
SV1617,A320,CAI,IST,2025-03-23 20:17,2025-03-23 21:46,89,1898.75,14196,140,13,8,1921.96,-23.21,1261.41,36592,844,13.56,1.5053,6000.05
PK6855,A320,KHI,DOH,2025-01-22 06:09,2025-01-22 08:03,114,2303.61,7327,143,26,22,2353.27,-49.66,1568.56,36259,824,16.11,1.4686,7279.41
SV2869,A320,JED,DXB,2025-02-13 23:58,2025-02-14 01:51,113,2524.49,16641,96,25,21,2426.41,98.08,1702.17,37313,896,26.3,1.4831,7977.39
PK2459,A320,DOH,DEL,2025-09-18 05:29,2025-09-18 08:32,183,3777.9,15822,162,16,12,3818.22,-40.32,2553.18,32332,833,23.32,1.4797,11938.16
AI234,A320,CAI,JED,2025-08-22 19:36,2025-08-22 20:59,83,1784.5,9513,132,26,20,1755.13,29.37,1214.94,30608,876,13.52,1.4688,5639.02
QR9085,A320,JED,DEL,2025-10-21 14:29,2025-10-21 19:27,298,6401.57,17991,166,16,20,6139.91,261.66,3886.02,35411,782,38.56,1.6473,20228.96
SV5153,A320,JED,CAI,2025-01-20 15:49,2025-01-20 17:18,89,1982.31,12396,146,26,17,1903.96,78.35,1214.94,32957,819,13.58,1.6316,6264.1
MS8763,A320,IST,DXB,2025-04-27 22:43,2025-04-28 02:07,204,4144.82,15887,88,27,15,4238.87,-94.05,3029.96,38541,889,47.1,1.3679,13097.63
EK9772,A320,DEL,IST,2025-01-16 11:50,2025-01-16 17:35,345,7160.0,17463,126,5,12,7074.63,85.37,4573.44,33430,794,56.83,1.5656,22625.6
QR3512,A320,DEL,DXB,2025-11-22 10:21,2025-11-22 12:50,149,3074.86,14172,158,21,11,3121.72,-46.86,2186.68,33576,875,19.46,1.4062,9716.56
TK5792,A320,KHI,CAI,2025-10-05 00:06,2025-10-05 04:05,239,5036.48,14488,176,8,19,4924.88,111.6,3565.44,37581,894,28.62,1.4126,15915.28
MS7141,A320,CAI,JED,2025-07-25 21:11,2025-07-25 22:43,92,1990.78,11716,141,11,15,1957.16,33.62,1214.94,34324,786,14.12,1.6386,6290.86
AI661,A320,CAI,DEL,2025-12-19 03:16,2025-12-19 08:30,314,6524.39,7309,99,7,7,6353.09,171.3,4412.05,30308,842,65.9,1.4788,20617.07
QR1867,A320,KHI,JED,2025-12-01 11:29,2025-12-01 15:06,217,4634.07,17989,98,12,6,4519.89,114.18,2882.63,32177,796,47.29,1.6076,14643.66
MS6532,A320,IST,CAI,2025-12-20 19:15,2025-12-20 20:40,85,1877.32,17373,86,26,12,1873.73,3.59,1261.41,30673,884,21.83,1.4883,5932.33
PK8988,A320,KHI,DOH,2025-12-18 18:14,2025-12-18 19:59,105,2158.22,13974,159,9,22,2239.74,-81.52,1568.56,38892,889,13.57,1.3759,6819.98
SV6104,A320,DOH,CAI,2025-12-19 22:51,2025-12-20 01:26,155,3168.29,16292,162,12,5,3262.92,-94.63,2060.93,30475,795,19.56,1.5373,10011.8
QR675,A320,DXB,JED,2025-12-03 19:07,2025-12-03 21:01,114,2422.23,8827,84,25,17,2368.27,53.96,1702.17,38164,889,28.84,1.423,7654.25
QR2868,A320,DEL,DOH,2025-01-28 12:19,2025-01-28 15:17,178,3872.93,15220,162,11,19,3712.2,160.73,2553.18,36086,858,23.91,1.5169,12238.46
EK5287,A320,KHI,JED,2025-04-17 22:12,2025-04-18 01:32,200,4130.94,15083,177,17,15,4150.83,-19.89,2882.63,34536,862,23.34,1.433,13053.77
EK7841,A320,DOH,IST,2025-11-24 08:38,2025-11-24 12:09,211,4214.6,17723,163,12,11,4397.23,-182.63,2756.39,38023,781,25.86,1.529,13318.14
AI6061,A320,DOH,DXB,2025-09-21 14:44,2025-09-21 15:09,25,650.93,14404,176,5,6,644.04,6.89,378.52,31556,879,3.7,1.7197,2056.94
AI7546,A320,DOH,CAI,2025-05-25 21:28,2025-05-26 00:04,156,3326.64,17692,151,29,12,3296.92,29.72,2060.93,32139,792,22.03,1.6141,10512.18
AI3086,A320,DXB,DEL,2025-01-23 02:14,2025-01-23 04:39,145,3109.84,7525,146,11,11,2975.25,134.59,2186.68,35982,899,21.3,1.4222,9827.09
PK8703,A320,DOH,KHI,2025-03-05 14:40,2025-03-05 16:25,105,2306.38,13286,96,18,12,2232.86,73.52,1568.56,37178,889,24.02,1.4704,7288.16
EK468,A320,DEL,JED,2025-03-19 00:19,2025-03-19 04:46,267,5476.34,9258,106,9,24,5432.58,43.76,3886.02,37539,872,51.66,1.4092,17305.23
TK8205,A320,JED,DXB,2025-02-05 18:01,2025-02-05 19:56,115,2443.98,15361,163,24,9,2453.61,-9.63,1702.17,36963,888,14.99,1.4358,7722.98
EK490,A320,IST,CAI,2025-10-26 03:52,2025-10-26 05:18,86,1761.98,12937,170,17,7,1849.37,-87.39,1261.41,33556,872,10.36,1.3968,5567.86
PK5503,A320,IST,KHI,2025-12-16 06:25,2025-12-16 10:56,271,5509.09,13668,89,29,19,5556.68,-47.59,3975.55,38710,879,61.9,1.3857,17408.72
EK3813,A320,KHI,DEL,2025-08-03 10:04,2025-08-03 11:20,76,1589.59,9324,108,5,21,1613.24,-23.65,1067.83,34676,843,14.72,1.4886,5023.1
AI1486,A320,DEL,IST,2025-06-23 21:45,2025-06-24 03:03,318,6378.23,15292,131,27,15,6512.92,-134.69,4573.44,36989,861,48.69,1.3946,20155.21
QR8908,A320,DXB,DOH,2025-12-03 22:30,2025-12-03 22:57,27,698.44,12934,116,13,5,669.34,29.1,378.52,36028,840,6.02,1.8452,2207.07
SV6646,A320,DOH,DEL,2025-11-13 12:02,2025-11-13 15:01,179,3511.53,10631,174,24,20,3686.31,-174.78,2553.18,34032,853,20.18,1.3754,11096.43
AI6282,A320,JED,CAI,2025-04-02 07:52,2025-04-02 09:20,88,1884.92,7652,158,8,20,1836.52,48.4,1214.94,35214,822,11.93,1.5514,5956.35
TK8386,A320,IST,CAI,2025-11-07 05:22,2025-11-07 06:56,94,2063.37,16110,81,23,15,2041.1,22.27,1261.41,37155,802,25.47,1.6358,6520.25
TK8981,A320,KHI,CAI,2025-02-11 18:17,2025-02-11 22:29,252,5251.53,13367,142,19,19,5173.67,77.86,3565.44,30088,847,36.98,1.4729,16594.83
AI4850,A320,DXB,DEL,2025-05-25 10:52,2025-05-25 13:37,165,3320.26,8167,99,18,18,3381.67,-61.41,2186.68,34290,792,33.54,1.5184,10492.02
SV5216,A320,DXB,DEL,2025-10-24 22:37,2025-10-25 01:03,146,3064.88,10172,135,23,13,3021.72,43.16,2186.68,34610,897,22.7,1.4016,9685.02
EK8707,A320,IST,JED,2025-03-23 04:34,2025-03-23 07:32,178,3694.45,15585,134,11,15,3715.85,-21.4,2383.55,35521,803,27.57,1.55,11674.46
SV7018,A320,DOH,DXB,2025-01-16 05:28,2025-01-16 05:56,28,688.37,14354,125,18,23,703.54,-15.17,378.52,33269,811,5.51,1.8186,2175.25
MS8437,A320,DOH,JED,2025-06-21 00:31,2025-06-21 02:06,95,2124.29,17407,149,21,16,2074.07,50.22,1332.96,30755,841,14.26,1.5937,6712.76
PK263,A320,KHI,CAI,2025-12-03 20:50,2025-12-04 00:48,238,4978.43,8346,115,27,8,4843.46,134.97,3565.44,35733,898,43.29,1.3963,15731.84
MS4828,A320,JED,KHI,2025-10-09 19:51,2025-10-09 23:19,208,4449.52,15779,134,21,23,4317.79,131.73,2882.63,36085,831,33.21,1.5436,14060.48
SV3857,A320,DXB,JED,2025-05-20 09:12,2025-05-20 11:14,122,2552.26,8664,108,28,21,2526.64,25.62,1702.17,34584,837,23.63,1.4994,8065.14
SV7789,A320,IST,JED,2025-10-09 20:05,2025-10-09 23:03,178,3528.04,13229,130,23,6,3692.29,-164.25,2383.55,35238,801,27.14,1.4802,11148.61
EK2386,A320,KHI,CAI,2025-12-08 16:25,2025-12-08 20:42,257,5011.92,13362,111,15,23,5273.62,-261.7,3565.44,34687,831,45.15,1.4057,15837.67
PK3406,A320,DXB,KHI,2025-08-13 15:12,2025-08-13 16:40,88,1873.63,16629,83,15,25,1926.29,-52.66,1190.18,31517,809,22.57,1.5742,5920.67
EK8855,A320,DEL,IST,2025-04-09 15:59,2025-04-09 21:04,305,6129.16,8709,107,20,15,6187.09,-57.93,4573.44,33905,897,57.28,1.3402,19368.15
SV914,A320,DXB,IST,2025-02-27 07:32,2025-02-27 11:08,216,4651.93,17377,124,22,16,4493.77,158.16,3029.96,34181,838,37.52,1.5353,14700.1
MS2099,A320,KHI,DXB,2025-05-18 22:48,2025-05-19 00:16,88,1934.01,15538,93,20,11,1915.38,18.63,1190.18,38708,810,20.8,1.625,6111.47
QR7942,A320,CAI,DEL,2025-12-08 13:12,2025-12-08 18:11,299,6175.61,7808,122,30,17,6058.08,117.53,4412.05,30506,884,50.62,1.3997,19514.93
PK3732,A320,CAI,DEL,2025-12-07 08:08,2025-12-07 13:05,297,5778.03,9694,111,30,13,6036.94,-258.91,4412.05,35979,890,52.05,1.3096,18258.57
MS294,A320,DXB,DOH,2025-08-25 15:44,2025-08-25 16:12,28,696.36,10485,180,9,12,664.85,31.51,378.52,37130,811,3.87,1.8397,2200.5
EK4042,A320,DXB,DOH,2025-10-18 03:56,2025-10-18 04:24,28,715.33,14276,152,7,5,702.76,12.57,378.52,30286,793,4.71,1.8898,2260.44
AI9157,A320,JED,DEL,2025-03-25 15:19,2025-03-25 19:55,276,5527.5,11221,83,25,11,5632.21,-104.71,3886.02,37848,843,66.6,1.4224,17466.9
PK5988,A320,CAI,DEL,2025-04-14 04:11,2025-04-14 09:07,296,6312.05,13701,95,14,7,6057.01,255.04,4412.05,30190,893,66.44,1.4306,19946.08
MS7853,A320,DXB,DEL,2025-04-22 04:51,2025-04-22 07:33,162,3220.15,6423,94,22,8,3304.23,-84.08,2186.68,32167,808,34.26,1.4726,10175.67
TK6519,A320,KHI,CAI,2025-01-11 10:48,2025-01-11 15:01,253,5191.91,16672,107,13,11,5226.72,-34.81,3565.44,33289,844,48.52,1.4562,16406.44
EK8196,A320,IST,DOH,2025-05-22 00:30,2025-05-22 03:36,186,3735.23,13078,125,20,5,3850.78,-115.55,2756.39,38245,888,29.88,1.3551,11803.33
TK1049,A320,DXB,CAI,2025-05-11 05:36,2025-05-11 08:35,179,3542.01,13436,162,9,15,3714.36,-172.35,2419.78,32131,808,21.86,1.4638,11192.75
TK2077,A320,IST,DXB,2025-09-11 01:50,2025-09-11 05:27,217,4646.44,9032,150,25,5,4430.32,216.12,3029.96,35397,834,30.98,1.5335,14682.75
EK5295,A320,DEL,DOH,2025-09-09 22:10,2025-09-10 01:23,193,4190.99,14024,171,9,7,4000.24,190.75,2553.18,36724,791,24.51,1.6415,13243.53
AI2354,A320,DOH,IST,2025-08-22 14:54,2025-08-22 18:19,205,4286.43,12626,111,12,12,4226.26,60.17,2756.39,34598,806,38.62,1.5551,13545.12
SV7740,A320,DOH,DXB,2025-06-04 15:16,2025-06-04 15:43,27,687.66,15863,117,8,18,698.63,-10.97,378.52,32281,830,5.88,1.8167,2173.01
SV8896,A320,IST,KHI,2025-01-16 19:25,2025-01-16 23:51,266,5183.92,7334,145,28,9,5393.34,-209.42,3975.55,31070,895,35.75,1.304,16381.19
SV549,A320,KHI,DEL,2025-03-23 10:58,2025-03-23 12:16,78,1699.79,11693,91,6,23,1676.93,22.86,1067.83,34197,815,18.68,1.5918,5371.34
SV4033,A320,JED,KHI,2025-03-19 13:00,2025-03-19 16:34,214,4469.03,7593,115,23,17,4355.93,113.1,2882.63,38484,806,38.86,1.5503,14122.13
EK8721,A320,CAI,DOH,2025-08-14 07:42,2025-08-14 10:10,148,3031.65,10202,165,22,9,3062.02,-30.37,2060.93,37460,831,18.37,1.471,9580.01
